"Sr. No","Institute Code","Institute Name","CAP I","CAP II","CAP III"
159,4195,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad � Patil College of Engineering, Nagpur",Download,Download,"-"
160,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Download,Download,"-"
161,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Download,Download,"-"
162,4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur",Download,Download,"-"
163,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Download,Download,"-"
164,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Download,Download,"-"
165,4305,"G.H.Raisoni Academy of Engineering & Technology, Nagpur",Download,Download,"-"
166,4613,"Suryodaya College of Engineering & Technology, Nagpur",Download,Download,"-"
167,4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Download,Download,"-"
168,4649,"Bajaj Institute of Technology, Wardha",Download,Download,"-"
169,5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",Download,Download,"-"
170,5004,"Government College of Engineering, Jalgaon",Download,Download,"-"
171,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Download,Download,"-"
172,5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Download,Download,"-"
173,5105,"G.H. Raisoni Institute of Engineering and Management, Jalgaon",Download,Download,"-"
174,5106,"K. C. E. Societys College of Engineering and Information Technology, Jalgaon",Download,Download,"-"
175,5107,"Shri Gulabrao Deokar College of Engineering, Jalgaon",Download,Download,"-"
176,5108,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik",Download,Download,"-"
177,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Download,Download,"-"
178,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Download,Download,"-"
179,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Download,Download,"-"
180,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Download,Download,"-"
181,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Download,Download,"-"
182,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Download,Download,"-"
183,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Download,Download,"-"
184,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Download,Download,"-"
185,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Download,Download,"-"
186,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Download,Download,"-"
187,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Download,Download,"-"
188,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Download,Download,"-"
189,5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Download,Download,"-"
190,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Download,Download,"-"
191,5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Download,Download,"-"
192,5172,"R. C. Patel Institute of Technology, Shirpur",Download,Download,"-"
193,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Download,Download,"-"
194,5176,"G. H. Raisoni College of Engineering and Management, Ahmednagar",Download,Download,"-"
195,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Download,Download,"-"
196,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",Download,Download,"-"
197,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Download,Download,"-"
198,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Download,Download,"-"
199,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Download,Download,"-"
200,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",Download,Download,"-"
201,5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Download,Download,"-"
202,5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",Download,Download,"-"
203,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Download,Download,"-"
204,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Download,Download,"-"
205,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Download,Download,"-"
206,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Download,Download,"-"
207,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Download,Download,"-"
208,5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Download,Download,"-"
209,5399,"Sanghavi College of Engineering, Varvandi, Nashik.",Download,Download,"-"
210,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Download,Download,"-"
211,5408,"Vidya Niketan College of Engineering, Bota Sangamner",Download,Download,"-"
212,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Download,Download,"-"
213,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Download,Download,"-"
214,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Download,Download,"-"
215,5449,"Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Download,Download,"-"
216,6004,"Government College of Engineering & Research, Avasari Khurd",Download,Download,"-"
217,6005,"Government College of Engineering, Karad",Download,Download,"-"
218,6006,"College of Engineering, Pune",Download,Download,"-"
219,6007,"Walchand College of Engineering, Sangli",Download,Download,"-"
220,6028,"Department of Technology, Shivaji University, Kolhapur",Download,Download,"-"
221,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Download,Download,"-"
222,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Download,Download,"-"
223,6139,"Progressive Education Society's Modern College of Engineering, Pune",Download,Download,"-"
224,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Download,Download,"-"
225,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Download,Download,"-"
226,6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Download,Download,"-"
227,6146,"MIT Academy of Engineering,Alandi, Pune",Download,Download,"-"
228,6149,"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",Download,Download,"-"
229,6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Download,Download,"-"
230,6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Download,Download,"-"
231,6160,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Download,Download,"-"
232,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Download,Download,"-"
233,6176,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Download,Download,"-"
234,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",Download,Download,"-"
235,6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Download,Download,"-"
236,6179,"Indira College of Engineering & Management, Pune",Download,Download,"-"
237,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Download,Download,"-"
238,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Download,Download,"-"
239,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Download,Download,"-"
240,6185,"Sinhagad Institute of Technology, Lonavala",Download,Download,"-"
241,6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",Download,Download,"-"
242,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Download,Download,"-"
243,6206,"Pune District Education Association's College of Engineering, Pune",Download,Download,"-"
244,6207,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune",Download,Download,"-"
245,6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Download,Download,"-"
246,6217,"Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur",Download,Download,"-"
247,6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Download,Download,"-"
248,6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Download,Download,"-"
249,6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Download,Download,"-"
