"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"629","Adarsh Vidya Prasarak Sanstha's Adarsh College of Arts and Commerce, Kulgaon, Badlapur, Thane – 421503 
(Second Cycle)
","Maharashtra","2.84","B++","2022-10-29"
"630","Shri Shivaji Education Society Yashwantrao Chavan College of Science, Vidyanagar, Karad,
 Satara – 415124 
(Third Cycle)
","Maharashtra","2.86","B++","2022-10-29"
"631","Sinhgad Technical Education Society's Sinhgad College of Nursing, Narhe, Pune – 411041 
(Second Cycle)
","Maharashtra","2.87","B++","2022-10-29"
"632","Jamner Taluka Education Society's Gitabai Dattatraya Mahajan Arts, Shri Kesharimal Rajmal Navlakha Commerce and Manoharseth Dhariwal Science College, Jamner, Jalgaon – 424206 
(Third Cycle)
","Maharashtra","2.87","B++","2022-10-29"
"633","Shri Binzani City College, Nagpur – 440009 
(Third Cycle)
","Maharashtra","2.87","B++","2022-10-29"
"634","Mahatma Night Degree College of Arts and Commerce, Chembur Naka, Mumbai – 400071 
(Third Cycle)
","Maharashtra","2.89","B++","2022-10-29"
"635","Govindrao Warjukar Arts and Commerce College, Shionagar, Nagbhid, Chandrapur – 441205 
(Third Cycle)
","Maharashtra","2.91","B++","2022-10-29"
"636","CHME Society's Bhonsala Military College, Rambhoomi, Nashik – 422005
(Re-visit,Third Cycle)
","Maharashtra","3.05","A","2023-09-25"
"637","Shreemati Nathibai Damodar Thackersey College of Home Science, Pune – 411038 
(Second Cycle)
","Maharashtra","2.94","B++","2022-10-29"
"638","Lokmanya Tilak College of Engineering, Sector 4, Vikas Nagar, Koparkhairane, 
Navi Mumbai – 400709 
(First Cycle)
","Maharashtra","2.95","B++","2022-10-29"
"639","Dr. Ambedkar Institute of Management Studies and Research, Deekshabhoomi, Nagpur – 440010 
(First Cycle)
","Maharashtra","3.01","A","2022-10-29"
"640","Marathwada Shikshan Prasarak Mandal's Arts, Commerce and Science College, Kille Dharur,
 Beed – 431124 
(Third Cycle)
","Maharashtra","3.01","A","2022-10-29"
"641","R. S. Mundle Dharampeth Arts and Commerce College, Nagpur – 440010 
(Third Cycle)
","Maharashtra","3.01","A","2022-10-29"
"642","KJ's Educational Institutes Trinity Academy of Engineering, Pisoli, Yewalewadi, Haveli, 
Pune – 411048 
(First Cycle)
","Maharashtra","3.02","A","2022-10-29"
"643","Shri Ambabai Talim Sanstha’s Sanjay Bhokare Group of Institutes, Tilak Nagar, Miraj – 416414 
(First Cycle)
","Maharashtra","3.02","A","2022-10-29"
"644","SKN Sinhgad College of Engineering, Korti, Pandharpur, Solapur – 413304 
(First Cycle)
","Maharashtra","3.02","A","2022-10-29"
"645","School of Fashion Technology, Ambegaon, Pune – 411052 
(First Cycle) Re-assessment
","Maharashtra","3.02","A","2022-10-29"
"646","The Council of Education Kolhapur Shahaji Law College, Shahupuri, Kolhapur – 416002 
(Second Cycle)
","Maharashtra","3.02","A","2022-10-29"
"647","Chetana's Hazarimal Somani College of Commerce and Economics Smt. Kusumtai Chaudhari College of Arts, Bandra (East), Mumbai – 400051 
(Third Cycle)
","Maharashtra","3.02","A","2022-10-29"
"648","Dattajirao Kadam Arts, Science and Commerce College, Hatkanangale, Ichalkaranji – 416115 
(Third Cycle)
","Maharashtra","3.02","A","2022-10-29"
"649","Maharshi Dayanand College of Arts, Science and Commerce, Parel, Mumbai – 400012 
(Third Cycle)
","Maharashtra","3.03","A","2022-10-29"
"650","Bharati Vidyapeeth’s College of Engineering, Morewadi, Kolhapur – 416013
(First Cycle)
","Maharashtra","3.04","A","2022-10-29"
"651","P. R. Pote (Patil) Education and Welfare Trust's Group of Institutions, College of Engineering and Management, Amravati – 444602 
(First Cycle)
","Maharashtra","3.04","A","2022-10-29"
"652","Shree Shankar Narayan Education Trust's Shankar Narayan College of Arts and Commerce, Mira-Bhayandar (E), Thane – 401105 
(Second Cycle)
","Maharashtra","3.04","A","2022-10-29"
"653","Maratha Vidya Prasarak Samaj, Nashik G. M. D. Arts, B. W. Commerce and Science College, Sinnar, 
Nashik – 422103 
(Third Cycle)
","Maharashtra","3.04","A","2022-10-29"
"654","Dr. D. Y. Patil Vidya Pratishtan Society's Dr. D. Y. Patil Institute of Hotel Management and Catering Technology, Tathawade, Mulshi,
 Pune – 411033 
(First Cycle)
","Maharashtra","3.05","A","2022-10-29"
"655","Jaywaant Shikshan Prasarak Mandal's Imperial College of Engineering and Research, Wagholi, Pune – 412207 
(First Cycle)
","Maharashtra","3.05","A","2022-10-29"
"656","S.N.J.B.’s Late Sau. Kantabai Bhavarlalji Jain College of Engineering, Neminagar, Chandwad, Nashik – 423101 
(First Cycle)
","Maharashtra","3.05","A","2022-10-29"
"657","Gokhale Education Society's Parel Centre College of Education and Research, Parel, Mumbai – 400012 
(Third Cycle)
","Maharashtra","3.06","A","2022-10-29"
"658","Maratha Vidya Prasarak Samaj's Arts, Commerce and Science College, Nandgaon, Nashik – 423106 
(Third Cycle)
","Maharashtra","3.06","A","2022-10-29"
"659","Maharashtra Institute of Technology, Aurangabad – 431010 
(First Cycle)
","Maharashtra","3.07","A","2022-10-29"
"660","St. John College of Engineering and Management, Vevoor, Palghar – 401404 
(First Cycle)
","Maharashtra","3.07","A","2022-10-29"
"661","Deccan Education Society's Willingdon College, Vishrambag, Sangli – 416415 
(Second Cycle)
","Maharashtra","3.07","A","2022-10-29"
"662","Mahatma Basweshwar Education Society's Mahatma Basweshwar Mahavidyalaya, Latur – 413512 
(Second Cycle)
","Maharashtra","3.07","A","2022-10-29"
"663","Satya Niketan Sanstha's Adv. Manoharrao Nanasaheb Deshmukh Arts and Science College, Akole, Rajur, Ahmednagar – 422604 
(Second Cycle)
","Maharashtra","3.07","A","2022-10-29"
"664","Ahmednagar Jilha Maratha Vidya Prasarak Samaj’s New Arts, Commerce and Science College, Parner, Ahmednagar – 414302 
(Third Cycle)
","Maharashtra","3.07","A","2022-10-29"
"665","Gokhale Education Society's B. Y. K. (Sinnar) College of Commerce, Nashik –  422005 
(Third Cycle)
","Maharashtra","3.07","A","2022-10-29"
"666","Rayat Shikshan Sanstha's Dada Patil Mahavidyalaya, Karjat, Ahmednagar – 414402 
(Third Cycle)
","Maharashtra","3.07","A","2022-10-29"
"667","Rayat Shikshan Sanstha's Rajarshi Chhatrapati Shahu College, Kolhapur – 416003 
(Third Cycle)
","Maharashtra","3.07","A","2022-10-29"
"668","D. Y. Patil College of Engineering and Technology, Kasba Bawda, Kolhapur – 416006
(First Cycle)
","Maharashtra","3.08","A","2022-10-29"
"669","Mahatma Gandhi Mission’s, Dr. G. Y. Pathrikar College of Computer Science and Information Technology, Aurangabad – 431003 
(Second Cycle)
","Maharashtra","3.08","A","2022-10-29"
"670","Mula Education Society's Shri Dnyaneshwar Mahavidyalaya, Newasa, Ahmednagar – 414603 
(Third Cycle)
","Maharashtra","3.08","A","2022-10-29"
"671","Marathwada Mitra Mandal’s College of Engineering, Karvenagar, Pune – 411052 
(First Cycle)
","Maharashtra","3.09","A","2022-10-29"
"672","Shrikrishnadas Jajoo Grameen Seva Mahavidyalaya, Pipri, Wardha – 442001 
(Third Cycle)
","Maharashtra","3.09","A","2022-10-29"
"673","SKN Sinhgad Institute of Technology and Science, Lonavala, Maval, Pune – 410401 
(First Cycle)
","Maharashtra","3.1","A","2022-10-29"
"674","Anand Charitable Sanstha Asthi's Anandrao Dhonde Alias Babaji Mahavidyalaya, Ashti, Kada, Beed – 414202 
(Second Cycle)
","Maharashtra","3.11","A","2022-10-29"
"675","Mahavir Mahavidyalaya, Kolhapur – 416003 
(Third Cycle)
","Maharashtra","3.11","A","2022-10-29"
"676","Kamala College, Rajarampuri 1st Lane, 
Kolhapur – 416008 
(Third Cycle)
","Maharashtra","3.12","A","2022-10-29"
"677","Rayat Shikshan Sansthan's D. P. Bhosale College, Karegaon, Satara – 415501 
(Third Cycle)
","Maharashtra","3.12","A","2022-10-29"
"678","Shikshan Prasarak Mandal's Kankavli College, Vidyanagar, Kankavli, Sindhudurg – 416602 
(Third Cycle)
","Maharashtra","3.15","A","2022-10-29"
"679","Maharshi Karve Stree Shikshan Sanstha's Cummins College of Engineering for Women, Karvenagar, Pune – 411052 
(Third Cycle)
","Maharashtra","3.16","A","2022-10-29"
"680","Rayat Shikshan Sanstha's Mahatma Phule Mahavidyalaya, Pimpri, Pune – 411017 
(Third Cycle)
","Maharashtra","3.16","A","2022-10-29"
"681","Zagdu Singh Charitable Trust's Thakur College of Engineering and Technology, Kandivali (E), Mumbai – 400101 
(First Cycle)
","Maharashtra","3.17","A","2022-10-29"
"682","R. C. Patel Institute of Technology, Shirpur-Warwade, Dhule – 425405 
(First Cycle)
","Maharashtra","3.18","A","2022-10-29"
"683","Kopargaon Taluka Education Society's K. J. Somaiya Arts, Commerce and Science College, Kopargaon, Ahmednagar – 423601 
(Third Cycle)
","Maharashtra","3.18","A","2022-10-29"
"684","Rayat Shikshan Sanstha's Mahatma Phule Arts, Science and Commerce College, Panvel, Raigad – 410206 
(Third Cycle)
","Maharashtra","3.18","A","2022-10-29"
"685","Nashik District Maratha Vidya Prasarak Samaj's Karmveer Abasaheb Alias N. M. Sonawane Arts, Commerce and Science College, Nashik – 423301 
(Third Cycle)
","Maharashtra","3.19","A","2022-10-29"
"686","Maratha Vidya Prasarak Samaj, Nashik Karmveer Shantarambapu Kondaji Wavare Arts, Science and Commerce College, Nashik – 422008 
(Third Cycle)
","Maharashtra","3.2","A","2022-10-29"
"687","K J Somaiya Institute of Engineering and Information Technology, Sion East, 
Mumbai – 400022 
(First Cycle)
","Maharashtra","3.21","A","2022-10-29"
"688","Bharati Vidyapeeth's Matoshri Bayabai Shripatrao Kadam Kanya Mahavidyalaya, Kadegaon, 
Sangli – 415304 
(Third Cycle)
","Maharashtra","3.21","A","2022-10-29"
"689","John Wilson Education Society’s Wilson College, Mumbai – 400007 
 (Third Cycle)
","Maharashtra","3.21","A","2022-10-29"
"690","JSPM’s Rajarshi Shahu College of Engineering, Tathawade, Pune – 411033 
(First Cycle)
","Maharashtra","3.26","A","2022-10-29"
"691","Kandivli Education Society’s B. K. Shroff College of Arts and M. H. Shroff College of Commerce, Kandivli (West), Mumbai – 400067 
(Second Cycle)
","Maharashtra","3.27","A","2022-10-29"
"692","Dr. D. Y. Patil Institute of Management and Research, Pimpri, Pune – 411018 
(First Cycle)
","Maharashtra","3.29","A","2022-10-29"
"693","Nutan Vidya Prasarak Mandal's Arts, Commerce and Science College, Niphad, Lasalgaon, Nashik – 422306 
 (Third Cycle)
","Maharashtra","3.3","A","2022-10-29"
"694","Dr. Ambedkar College, Deekshabhoomi, 
Nagpur – 440010 
(Third Cycle)
","Maharashtra","3.45","A","2022-10-29"
"695","Modern Education Society's Nowrosjee Wadia College, Pune – 411001 
(Second Cycle)
","Maharashtra","3.51","A+","2022-10-29"
"696","Karmaveer Bhaurao Patil Mahavidyalaya, Pandharpur – 413304
(Third Cycle)
","Maharashtra","3.51","A+","2022-10-29"
"697","Rayat Shikshan Sanstha's Chhatrapati Shivaji College, Satara – 415001 
(Third Cycle)
","Maharashtra","3.51","A+","2022-10-29"
"698","Society of our Lady of Grace Convent Pushpanjali College of Education, Vasai (W), Palghar – 401207 ","Maharashtra","3.51","A+","2022-10-29"
"699","Khandesh Education Society's Pratap College, Amalner, Jalgaon – 425401 
(Third Cycle)
","Maharashtra","3.52","A+","2022-10-29"
"700","Amar Sewa Mandal's  Kamla Nehru Mahavidyalaya, Sakkardara Chowk, Nagpur – 440009 
(Third Cycle)
","Maharashtra","3.53","A+","2024-10-29"
"701","Chikitsak Samuha's S. S. and L. S. Patkar College of Arts and Science and V. P. Varde College of Commerce and Economics, Goregaon (West), Mumbai – 400062 
(Third Cycle)
","Maharashtra","3.53","A+","2022-10-29"
"702","Smt. P. D. Hinduja Trust's K. P. B. Hinduja College of Commerce, Mumbai – 400004 
(Third Cycle)
","Maharashtra","3.59","A+","2022-10-29"
"703","Changu Kana Thakur Arts, Commerce and Science College, New Panvel (W), Raigad – 410206 
(Third Cycle)
","Maharashtra","3.61","A+","2024-10-29"
"704","Seva Mandal Education Society's Dr. Bhanuben Mahendra Nanavati College of Home Science, Matunga, Mumbai – 400019 
(Third Cycle
","Maharashtra","3.69","A+","2022-10-29"
"705","Shikshan Prasarak Mandali’s Sir Parashurambhau College, Pune – 411030 (Third Cycle)","Maharashtra","3.7","A+","2024-10-29"
"706","Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Arts, Commerce and Science College, Ahmednagar – 414001 
(Third Cycle)
","Maharashtra","3.79","A++","2022-10-29"
"707","Maratha Vidya Prasarak Samaj's K. R. T. Arts, B. H. Commerce and A. M. Science College, Shivajinagar, Nashik – 422002 
(Third Cycle)
","Maharashtra","3.79","A++","2024-10-29"
"708","Abha Gaikwad-Patil College of Engineering, Mohgaon, Nagpur – 441108 
(First Cycle)
","Maharashtra","2.28","B","2022-11-26"
"709","Annapurnadevi Vidya Prasarak Sanstha Sanchalit Late. Annasaheb Pitambar Shankar Wadile Arts College, Thalner, Shirpur-Warwade, Dhule – 425421 
(First Cycle)
","Maharashtra","1.52","C","2022-11-26"
"710","Arts and Science College, Chincholi Limbaji, Kannad, Aurangabad – 431147 
(First Cycle)
","Maharashtra","2.12","B","2022-11-26"
"711","Arts College, Malkapur, Akola – 444004 
(First Cycle)
","Maharashtra","2.01","B","2022-11-26"
"712","Baburao Patil College of Arts and Science, Angar, Mohol, Solapur – 413214 
(First Cycle)
","Maharashtra","2.18","B","2022-11-26"
"713","College of Engineering and Technology, Babhulgaon, Akola – 444104 
(First Cycle)
","Maharashtra","3.27","A","2022-11-26"
"714","D. Y. Patil College of Engineering, Akurdi, Pune – 411044 
(First Cycle)
","Maharashtra","3.06","A","2022-11-26"
"715","Dadasaheb Balpande College of Pharmacy, Nagpur – 440037 
(First Cycle)
","Maharashtra","2.37","B","2022-11-26"
"716","Dr. D. Y. Patil Centre for Management and Research, Chikhali, Pune – 412114 
(First Cycle)
","Maharashtra","2.54","B+","2022-11-26"
"717","Dr. Shyamaprasad Mukherjee Arts College, Shendurjanaghat, Warud, Amravati – 444907 
(First Cycle)
","Maharashtra","2.14","B","2022-11-26"
"718","DRT’s A. E. Kalsekar Degree College, Dawla Kausa, Mumbra, Mumbai – 400612 
(First Cycle)
","Maharashtra","2.76","B++","2022-11-26"
"719","Institute of Management and Computer Studies (IMCOST), Thane West – 400604 
(First Cycle)
","Maharashtra","2.62","B+","2022-11-26"
"720","K. J. Somaiya College of Engineering and Management Research, Pune – 411048 
(First Cycle)
","Maharashtra","2.55","B+","2022-11-26"
"721","K. K. Wagh Institute of Engineering Education and Research, Amrutdham, Panchavati, Nashik – 422003 
(Re-visit, First Cycle)
","Maharashtra","3.03","A","2023-09-25"
"722","Late Rajkamalji Arts, Commerce and 
Smt. Sushilabai R. Bharti Science College, Arni, Yavatmal – 445103 
(First Cycle)
","Maharashtra","1.93","C","2022-11-26"
"723","Lokseva Education Society’s Arts and Science College, Aurangabad – 431009 
(First Cycle)
","Maharashtra","2.22","B","2022-11-26"
"724","Mahatma Gandhi Mission College of Journalism and Mass Communication, CIDCO, Aurangabad – 431003 
(First Cycle)
","Maharashtra","2.67","B+","2022-11-26"
"725","Mahatma Gandhi Mission’s Jawaharlal Nehru Engineering College, CIDCO, Aurangabad – 431003 
(First Cycle)
","Maharashtra","3.25","A","2022-11-26"
"726","Mahatma Phule Nutan Mahavidyalaya, Mirajgaon, Karjat, Ahmednagar – 414401 
(First Cycle)
","Maharashtra","2.11","B","2022-11-26"
"727","Matoshri Pratishthan Group of Institution School of Engineering and Management, Khupsarwadi, Vishnupuri, Nanded-Waghala – 431606 
(First Cycle)
","Maharashtra","2.52","B+","2022-11-26"
"728","NDMVP Samaj's Institute of Management, Research and Technology, Shivaji Nagar, Nashik – 422002 
(First Cycle)
","Maharashtra","2.68","B+","2022-11-26"
"729","Oswal Shikshan and Rahat Sangh Sanchalit Shree Halari Visa Oswal College of Commerce, Anjurphata, Bhiwandi, Thane – 421302 
(First Cycle)
","Maharashtra","2.27","B","2022-11-26"
"730","PCET’s Pimpri Chinchwad College of Engineering, Sector 26, Pradhikaran, Nidgi,  Pune – 411044
(First Cycle)
","Maharashtra","3.2","A","2022-11-26"
"731","Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Nagpur – 440024 
(First Cycle)
","Maharashtra","2.16","B","2022-11-26"
"732","Priyadarshini J. L. College of Engineering, Nagpur – 440009 
(First Cycle)
","Maharashtra","3.04","A","2022-11-26"
"733","Prof. Ram Meghe College of Engineering and Management, Badnera, Amravati – 444701 
(First Cycle)
","Maharashtra","3.03","A","2022-11-26"
"734","Rajarshi Shahu Mahavidyalaya, Parbhani – 431401 
(First Cycle)
","Maharashtra","1.97","C","2022-11-26"
"735","Rajendra Mane College of Engineering and Technology, Ambav, Devrukh, Sangameshwar, Ratnagiri – 415804 
(First Cycle)
","Maharashtra","2.6","B+","2022-11-26"
"736","Rajiv Gandhi College of Engineering and Research, Wanadongri, Nagpur – 441110 
(First Cycle)
","Maharashtra","2.62","B+","2022-11-26"
"737","Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Haveli, Pune – 411058 
(First Cycle)
","Maharashtra","3.03","A","2022-11-26"
"738","Sambhaji College (Arts and Commerce), Murud, Latur – 413510 
(First Cycle)
","Maharashtra","2.01","B","2022-11-26"
"739","Shri Yashwantrao Patil Science College, Solankur, Radhanagari, Kolhapur – 416212 
(First Cycle)
","Maharashtra","2.14","B","2022-11-26"
"740","Sinhgad Institute of Hotel Management and Catering Technology, Kusgaon, Lonavala – 410401 
(First Cycle)
","Maharashtra","3.11","A","2022-11-26"
"741","Suryodaya College of Engineering and Technology, Vihirgaon, Nagpur – 441204 
(First Cycle)
","Maharashtra","2.08","B","2022-11-26"
"742","Zeal Education Society's Zeal College of Engineering and Research, Narhe, Pune – 411041 
(First Cycle)
","Maharashtra","3.04","A","2022-11-26"
"743","Arts and Science College, Kurha, Tiosa, Amravati – 444709 
(Second Cycle)
","Maharashtra","2.16","B","2022-11-26"
"744","Bhagwantrao Memorial Education Society, Aheri Bhagwantrao Arts and Science College, Etapalli, Gadchiroli – 442704 
(Second Cycle)
","Maharashtra","2.01","B","2022-11-26"
"745","Bharat Liberal Education Society's Shri Havagiswami College, Udgir, Latur – 413517 
(Second Cycle)
","Maharashtra","2.1","B","2022-11-26"
"746","Gramin Vikas Sanstha Shikshan Maharshi Shri Krushnarao Zoting Patil Arts and Commerce College, Samudrapur, Wardha – 442305 
(Second Cycle)
","Maharashtra","1.69","C","2022-11-26"
"747","Gramin Vikas Shikshan Prasarak Mandal's Late M. D. Sisode Alias Bhausaheb Arts and Commerce College, Shindkheda, Dhule – 425404 
(Second Cycle)
","Maharashtra","2.02","B","2022-11-26"
"748","J. B. Sawant Education Society's Tikambhai Mehta Commerce College, Mangaon, Raigad – 402104 (Second Cycle)","Maharashtra","2.13","B","2022-11-26"
"749","Jaibhawani Shikshan Prasarak Mandal's Mahila Mahavidyalaya, Georai, Beed – 431127 
(Second Cycle)
","Maharashtra","2.28","B","2022-11-26"
"750","Jnan Vikas Mandal’s Mohanlal Raichand Mehta College of Commerce, Diwali Maa College of Science, Amrutlal Raichand Mehta College of Arts, Dr. R. T. Doshi College of Computer Science, Sector 19, Airoli, Navi Mumbai – 400708 
(Second Cycle)
","Maharashtra","3.33","A","2022-11-26"
"751","Late Babasaheb Varhade Education Society, Amravati's Sant Gadge Maharaj Arts, Commerce and Science College, Walgaon, Amravati – 444801 
(Second Cycle)
","Maharashtra","1.74","C","2022-11-26"
"752","Late Laxmibai Deshmukh Shikshan Prasarak Mandal's Late Laxmibai Deshmukh Mahila Mahavidyalaya, Parli Vaijnath, Beed – 431515 
(Second Cycle)
","Maharashtra","2.15","B","2022-11-26"
"753","Mahatma Gandhi Vidyamandir’s Arts, Science and Commerce College, Surgana, Nashik – 422211 
(Second Cycle)
","Maharashtra","2.14","B","2022-11-26"
"754","Matsyodari Shikshan Sanstha‘s Arts, Science and Commerce College, Ambad, Jalna – 431204 
(Second Cycle)
","Maharashtra","3.06","A","2022-11-26"
"755","People's Education Society (Mumbai's) Dr. Ambedkar College of Arts and Commerce, Yerwada, Pune – 411006 
(Second Cycle)
","Maharashtra","2.21","B","2022-11-26"
"756","Rajgad Dnyanpeeth's Anantrao Thopte College, Bhor, Pune – 412206 
(Second Cycle)
","Maharashtra","3.08","A","2022-11-26"
"757","Rishi Dayaram and Seth Hassaram National College and Seth Wassiamull Assomull Science College, Bandra (W), Mumbai – 400050 
(Re-visit,Second Cycle)
","Maharashtra","2.89","B++","2023-09-25"
"758","Shikshan Prasarak Mandal Anadur Jawahar Arts, Science and Commerce College, Tuljapur, Gunjoti, Osmanabad – 413606 
(Second Cycle)
","Maharashtra","2.81","B++","2022-11-26"
"759","Shivaji Shikshan Prasarak Mandal Karmveer Dadasaheb Deotale Mahavidyalaya, Chamorshi, Gadchiroli – 442603 
(Second Cycle)
","Maharashtra","2.13","B","2022-11-26"
"760","Vidarbha Youth Welfare Society, Amravati’s Prof. Rajabhau Deshmukh Kala Mahavidyalaya, Badnera, Nandgaon, Amravati – 444708 
(Second Cycle)
","Maharashtra","2.55","B+","2022-11-26"
"761","Vidya Shikshan Prasarak Mandal, Nagpur Arvindbabu Deshmukh Mahavidyalaya, Nagpur – 441305 
(Second Cycle)
","Maharashtra","2.81","B++","2022-11-26"
"762","W. K. B. S. Mandal's Arts and Commerce College for Women, Deopur, Dhule – 424005 
(Second Cycle)
","Maharashtra","2.65","B+","2022-11-26"
"763","Adivasi Pragati Mandal Sanchalit Comrade Godavari Shamrao Parulekar College of Arts, Commerce and Science, Talasari, Palghar, Thane – 401606 
(Third Cycle)
","Maharashtra","2.53","B+","2022-11-26"
"764","Dharampeth M. P. Deo Memorial Science College, Nagpur – 440010 
(Third Cycle)
","Maharashtra","3.01","A","2022-11-26"
"765","Government College of Education, Near S. T. Stand, Panvel, Raigad – 410206 
(Third Cycle)
","Maharashtra","3.14","A","2022-11-26"
"766","Marathwada Shikshan Prasarak Mandal's Sunderrao Solanke Mahavidyalaya, Majalgaon, Beed – 431131 (Third Cycle)","Maharashtra","3.21","A","2022-11-26"
"767","Nanded Education Society's Science College, Sneh Nagar, Nanded-Waghala – 431605
(Third Cycle)
","Maharashtra","3.38","A","2022-11-26"
"768","Parle Tilak Vidyalaya Association's Sathaye College, Vile Parle (East), Mumbai – 400057 
(Third Cycle)
","Maharashtra","3.06","A","2022-11-26"
"769","People's Education Society's Dr. Ambedkar College of Commerce and Economics, Wadala, Mumbai – 400031 
(Third Cycle)
","Maharashtra","2.53","B+","2022-11-26"
"770","Rajasthan Education Society's Rajasthan Aryan Arts, Shri Mithulalji Kacholiya Commerce and Shri Satyanarayanji Ramkrishnaji Rathi Science College, Washim – 444505 
(Third Cycle)
","Maharashtra","3.16","A","2022-11-26"
"771","Rayat Shikshan Sanstha's Annasaheb Awate Arts, Commerce and Hutatma Babu Genu Science College, Manchar, Ambegaon, Pune – 410503 
(Third Cycle)
","Maharashtra","3.09","A","2022-11-26"
"772","Shri Shivaji Vidya Prasarak Sanstha's Late Karmveer Dr. P. R. Ghogrey Science College, Deopur, Dhule – 424005 
(Third Cycle)
","Maharashtra","3.55","A+","2022-11-26"
"773","The Berar General Education Society's Sitabai Arts College, Akola – 444001 
(Third Cycle)
","Maharashtra","3.01","A","2022-11-26"
"774","Yavatmal Zilha Akhil Kunbi Samaj Yavatmal Dwara Sanchalit Gopikabai Sitaram Gawande Mahavidyalaya, Umarkhed, Yavatmal – 445206 
(Third Cycle)
","Maharashtra","2.79","B++","2022-11-26"
"775","Anandi Arts, Commerce and Science Mahavidyalaya, Gaganbavada(First Cycle)","Maharashtra","2.29","B","2023-07-02"
"776","Atharva College of Engineering (First Cycle)","Maharashtra","2.72","B+","2023-07-02"
"777","Christ College, Pune (First Cycle)","Maharashtra","2.64","B+","2023-07-02"
"778","Dr D Y Patil Educational Enterprises Charitable Trusts Dr D Y Patil Group of Institutions Dr D Y Patil School of Engineering (First Cycle)","Maharashtra","2.61","B+","2023-07-02"
"779","JCEI's Jaihind College of Engineering  (First Cycle)","Maharashtra","2.79","B++","2023-07-02"
"780","Mahatma Gandhi Vidyamandir's Arts College Nimgaon (First Cycle)","Maharashtra","1.93","C","2023-07-02"
"781","Maulana Azad Educational Trust's Y B Chavan College of Pharmacy (First Cycle)","Maharashtra","3.23","A","2023-07-02"
"782","Nagesh Karajagi Orchid College of Engineering and Technology (First Cycle)","Maharashtra","2.73","B+","2023-07-02"
"783","Padmashri Dr. V. B. Kolte College of Engineering (First Cycle)","Maharashtra","2.46","B","2023-07-02"
"784","Priyadarshini J. L. College of Pharmacy (First Cycle)","Maharashtra","2.87","B++","2023-07-02"
"785","Rajmata Jijau Shikshan Prasarak Mandal's Arts, Commerce and Science College Maharashtra (First Cycle)","Maharashtra","2.21","B","2023-07-02"
"786","Shri Vasantrao Naik Mahavidyalaya, Dharni (First Cycle)","Maharashtra","2.45","B","2023-07-02"
"787","Sipna College of Engineering and Technology (First Cycle)","Maharashtra","3.05","A","2023-07-02"
"788","SSVPS BS Deore College of Engineering (First Cycle)","Maharashtra","2.56","B+","2023-07-02"
"789","Vidya Niketan Degree College of Commerce (First Cycle)","Maharashtra","1.75","C","2023-07-02"
"790","Vidyasagar Kala Mahavidyalaya (First Cycle)","Maharashtra","2.2","B","2023-07-02"
"791","Vivekanand Education Society's Institute of Management Studies and Research (First Cycle)","Maharashtra","2.56","B+","2023-07-02"
"792","Nirmal Krida and Samaj Prabodhan Trust's Arts Science and Commerce College ( Second Cycle)
","Maharashtra","2.29","B","2023-07-02"
"793","Pune Vidyarthi Griha's College of Engineering andTechnology (Second Cycle)
","Maharashtra","3.12","A","2023-07-02"
"794","Shirdi Sai Rural Institute's Arts Science and
Commerce College (Second Cycle)
","Maharashtra","2.83","B++","2023-07-02"
"795","Athavale College of Social Work Chimur ( Third Cycle)","Maharashtra","2.48","B","2023-07-02"
"796","B.P.H.E. Society's Ahmednagar College  ( Third Cycle)","Maharashtra","2.8","B++","2023-07-02"
"797","Janata Shikshan Mandal's Smt. Indirabai G. Kulkarni Arts College, J. B. Sawant Science College and Sau. Janakibai Dhondo Kunte Commerce College  ( Third Cycle)","Maharashtra","2.08","B","2023-07-02"
"798","K.C.E.S's Mooljie Jaitha College Maharashtra  ( Third Cycle)","Maharashtra","3.15","A","2023-07-02"
"799","Katruwar Arts, Ratnalal Kabra Science and B. R. Mantri Commerce College  ( Third Cycle)","Maharashtra","2.28","B","2023-07-02"
"800","Khadki Education Society's Tikaram Jagannath Arts, Commerce and Science College  ( Third Cycle)","Maharashtra","2.34","B","2023-07-02"
"801","Late Sow. Kamaltai Jamkar Mahila Mahavidyalaya  ( Third Cycle)","Maharashtra","2.92","B++","2023-07-02"
"802","Latthe Education Society's Ganpatrao Arwade College of Commerce  ( Third Cycle)","Maharashtra","2.36","B","2023-07-02"
"803","Latthe Education Society's Smt. Kasturbai Walchand College (Arts-Science)  ( Third Cycle)","Maharashtra","2.35","B","2023-07-02"
"804","Phaltan Education Society Mudhoji College  ( Third Cycle)","Maharashtra","2.59","B+","2023-07-02"
"805","Shri Marutrao Ghule Patil Shikshan Sanstha's Jijamata College of Science and Arts  ( Third Cycle)","Maharashtra","2.72","B+","2023-07-02"
"806","RAJARSHI SHAHU MAHAVIDYALAYA, Kaku Seth Ukka Marg, Chandranagar Latur-413512 (Third Cycle) ","Maharashtra","2.99","B++","2023-09-25"
