"","Gender","sub.group.name"
"1200","M",""
"1201","F",""
"1202","M",""
"1203","M",""
"1204","M",""
"1205","M",""
"1206","M",""
"1207","F",""
"1208","M",""
"1209","M",""
"1210","M",""
"1211","M",""
"1212","F",""
"1213","F",""
"1214","M",""
"1215","M",""
"1216","M",""
"1217","M",""
"1218","F",""
"1219","M",""
"1220","M",""
"1221","F",""
"1222","M",""
"1223","M",""
"1224","M",""
"1225","M",""
"1226","F",""
"1227","M",""
"1228","F",""
"1229","M",""
"1230","M","Civil"
"1231","F","Civil"
"1232","M","Civil"
"1233","F","Civil"
"1234","F","Civil"
"1235","M","Civil"
"1236","F","Civil"
"1237","F","Civil"
"1238","M","Civil"
"1239","F","Civil"
"1240","F","Civil"
"1241","M","Civil"
"1242","M","Civil"
"1243","M","Civil"
"1244","F","Civil"
"1245","M","Civil"
"1246","M","Civil"
"1247","M","Civil"
"1248","M","Civil"
"1249","F","Civil"
"1250","F","Civil"
"1251","M","Civil"
"1252","M","Civil"
"1253","M","Civil"
"1254","M","Civil"
"1255","F","Civil"
"1256","M","Civil"
"1257","M","Civil"
"1258","M","Civil"
"1259","F","Civil"
"1260","M","Civil"
"1261","M","Civil"
"1262","M","Civil"
"1263","M","Civil"
"1264","M","Civil"
"1265","M","Civil"
"1266","M","Civil"
"1267","M","Civil"
"1268","M","Civil"
"1269","M","Civil"
"1270","M","Civil"
"1271","M","Civil"
"1272","M","Civil"
"1273","F","Civil"
"1274","M","Civil"
"1275","M","Civil"
"1276","M","Civil"
"1277","M","Civil"
"1278","M","Civil"
"1279","M","Civil"
"1280","M","Civil"
"1281","M","Civil"
"1282","M","Civil"
"1283","M","Civil"
"1284","M","Civil"
"1285","M","Civil"
"1287","M","Civil"
"1288","M","Civil"
"1289","M","Civil"
"1290","M","Civil"
"1291","M","Civil"
"1292","M","Civil"
"1293","M","Civil"
"1294","F","Civil"
"1295","F","Civil"
"1296","M","Civil"
"1297","M","Civil"
"1298","M","Civil"
"1299","F","Civil"
"1300","F","Civil"
"1301","M","Civil"
"1302","M","Civil"
"1303","M","Civil"
"1304","F","Civil"
"1305","M","Civil"
"1306","F","Civil"
"1307","M","Civil"
"1308","F","Civil"
"1309","M","Civil"
"1310","M","Civil"
"1311","M","Civil"
"1312","M","Civil"
"1313","M","Civil"
"1314","M","Civil"
"1315","M","Civil"
"1316","M","Civil"
"1317","M","Civil"
"1318","M","Civil"
"1319","M","Civil"
"1320","F","Civil"
"1321","M","Civil"
"1322","M","Civil"
"1323","M","Civil"
"1324","M","Civil"
"1325","F","Civil"
"1326","M","Civil"
"1327","F","Civil"
"1328","M","Civil"
"1329","M","Civil"
"1338","M","Civil"
"1339","M","Civil"
"1340","M","Civil"
"1341","M","Civil"
"1342","M","Civil"
"1343","F","Civil"
"1344","M","Civil"
"1345","M","Civil"
"1346","M","Civil"
"1347","M","Civil"
"1348","M","Civil"
"1349","F","Civil"
"1350","M","Civil"
"1351","M","Civil"
"1352","M","Civil"
"1353","M","Civil"
"1354","M","Civil"
"1355","F","Civil"
"1356","M","Civil"
"1357","M","Civil"
"1358","M","Civil"
"1359","M","Civil"
"1360","M","Civil"
"1361","M","Civil"
"1362","M","Civil"
"1363","M","Civil"
"1364","F","Civil"
"1365","F","Civil"
"1366","F","Civil"
"1367","F","Civil"
"1368","M","Civil"
"1369","M","Civil"
"1370","F","Civil"
"1371","F","Civil"
"1372","M","Civil"
"1373","F","Civil"
"1374","F","Civil"
"1375","F","Civil"
"1376","M","Civil"
"1377","F","Civil"
"1378","F","Civil"
"1379","M","Civil"
"1380","M","Civil"
"1381","M","Civil"
"1382","F","Civil"
"1383","F","Civil"
"1384","F","Civil"
"1385","F","Civil"
"1386","F","Civil"
"1387","F","ENTC"
"1388","M","Civil"
"1389","M","Civil"
"1390","M","Civil"
"1391","M","Civil"
"1392","M","Civil"
"1393","M","Civil"
"1394","M","Civil"
"1395","M","Civil"
"1396","M","Civil"
"1397","M","Civil"
"1398","M","Civil"
"1399","M","Machanical"
"1400","M","Civil"
"1401","M","Civil"
"1402","M","Civil"
"1403","M","Civil"
"1404","M","Civil"
"1405","M","Civil"
"1407","F","Civil"
"1408","M","Civil"
"1409","F","Civil"
"1410","M","Civil"
"1411","M","Civil"
"1412","M","Civil"
"1413","M","Civil"
"1414","M","Civil"
"1415","M","Civil"
"1416","F","Civil"
"1417","M","Civil"
"1418","F","Civil"
"1419","M","Civil"
"1420","F","Civil"
"1421","M","Civil"
"1422","M","Civil"
"1423","F","Civil"
"1424","M","Civil"
"1425","M","Civil"
"1426","M","Civil"
"1427","F","Civil"
"1428","M","Civil"
"1429","F","Civil"
"1430","M","Civil"
"1431","F","Civil"
"1432","F","Civil"
"1433","F","Civil"
"1434","M","Civil"
"1435","F","Civil"
"1436","M","Civil"
"1437","M","Civil"
"1438","F","Civil"
"1439","F","Civil"
"1440","M","Civil"
"1441","M","Civil"
"1442","M","Civil"
"1443","M","Civil"
"1444","M","Civil"
"1445","F","Civil"
"1446","M","Civil"
"1447","M","Civil"
"1448","F","Civil"
"1449","M","Civil"
"1450","M","Civil"
"1451","M","Civil"
"1452","M","Civil"
"1453","F","Civil"
"1454","F","Civil"
"1455","M","Civil"
"1456","M","Civil"
"1457","M","Civil"
"1458","F","Civil"
"1459","M","Civil"
"1460","F","Civil"
"1461","M","Civil"
"1462","M","Civil"
"1463","M","Civil"
"1464","M","Civil"
"1465","M","Civil"
"1466","M","Civil"
"1467","F","Civil"
"1468","M","Civil"
"1469","M","ENTC"
"1470","F","Civil"
"1471","M","Civil"
"1472","M","Civil"
"1473","M","Civil"
"1474","M","Civil"
"1475","M","Civil"
"1476","M","Civil"
"1477","M","Civil"
"1478","M","Civil"
"1479","M","Civil"
"1480","M","Civil"
"1481","M","Civil"
"1482","M","Civil"
"1483","M","Civil"
"1484","M","Civil"
"1485","M","Civil"
"1486","M","Civil"
"1487","M","Civil"
"1488","M","Civil"
"1489","M","Civil"
"1490","M","Civil"
"1491","M","Civil"
"1492","M","Civil"
"1493","M","Civil"
"1494","M","Civil"
"1495","M","Civil"
"1496","M","Civil"
"1497","M","Civil"
"1498","M","Civil"
"1499","M","Civil"
"1500","M","Civil"
"1501","M","Civil"
"1502","M","Civil"
"1503","F","Civil"
"1505","M","Civil"
"1506","F","Civil"
"1507","M","Civil"
"1508","F","Civil"
"1509","M","Civil"
"1510","M","Civil"
"1511","M","Civil"
"1512","F","Civil"
"1513","M","Civil"
"1514","F","Civil"
"1515","F","Civil"
"1516","M","Civil"
"1517","F","Civil"
"1518","M","Civil"
"1519","F","Civil"
"1520","F","Civil"
"1521","M","Civil"
"1522","M","Civil"
"1523","M","Civil"
"1524","F","Civil"
"1525","M","Civil"
"1526","F","Civil"
"1527","M","Civil"
"1528","M","Civil"
"1529","M","Civil"
"1530","M","Civil"
"1531","M","Civil"
"1532","M","Civil"
"1533","M","Civil"
"1534","F","Civil"
"1535","M","Civil"
"1537","F","Civil"
"1538","M","Civil"
"1539","M","Civil"
"1540","F","Civil"
"1541","M","Civil"
"1542","M","Civil"
"1543","F","Civil"
"1544","M","Civil"
"1545","F","Civil"
"1546","F","Civil"
"1547","M","Civil"
"1548","M","Civil"
"1549","F","Civil"
"1550","M","Civil"
"1551","M","Civil"
"1552","M","Civil"
"1553","F","Civil"
