,Institute Code,Institute Name
171,5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
172,5105,"G.H. Raisoni Institute of Engineering and Management, Jalgaon"
173,5106,"K. C. E. Societys College of Engineering and Information Technology, Jalgaon"
174,5107,"Shri Gulabrao Deokar College of Engineering, Jalgaon"
175,5108,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik"
176,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
177,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik"
178,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
179,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
180,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
181,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
182,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
183,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon"
184,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar"
185,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner"
186,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
187,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
188,5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
189,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
190,5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon"
191,5172,"R. C. Patel Institute of Technology, Shirpur"
192,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
193,5176,"G. H. Raisoni College of Engineering and Management, Ahmednagar"
194,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
195,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar"
196,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
197,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik"
198,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar"
199,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
200,5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa"
201,5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik"
202,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
203,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
204,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha."
205,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti"
206,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
207,5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon"
208,5399,"Sanghavi College of Engineering, Varvandi, Nashik."
209,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
210,5408,"Vidya Niketan College of Engineering, Bota Sangamner"
211,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
212,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
213,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik."
214,5449,"Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
215,6004,"Government College of Engineering & Research, Avasari Khurd"
216,6005,"Government College of Engineering, Karad"
217,6006,"College of Engineering, Pune"
218,6007,"Walchand College of Engineering, Sangli"
219,6028,"Department of Technology, Shivaji University, Kolhapur"
220,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
221,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune"
222,6139,"Progressive Education Society's Modern College of Engineering, Pune"
